price,bath,balcony,bhk,price_per_sqft,new_total_sqft,site_location
120,3,3,3,6666.666667,1800,Camp
75,2,2,3,5307.855626,1413,Chandan Nagar
51.91,2,1,2,4651.433692,1116,Dapodi
45.9,2,1,3,3000,1530,Deccan Gymkhana
225,4,1,4,6081.081081,3700,Dehu Road
140,3,2,3,5606.728074,2497,Dhankawadi
64,2,3,3,4155.844156,1540,Dhayari Phata
74.75,3,1,3,5205.431755,1436,Dhole Patil Road
75,2,2,2,6818.181818,1100,Erandwane
23,3,3,2,8333.333333,276,Fatima Nagar
120,3,2,3,8409.250175,1427,Fergusson College Road
200,3,1,3,9704.027171,2061,Ganesh Peth
225,4,0,4,8500.400962,5611.5,Ganeshkhind
150,4,2,4,5660.377358,2650,Ghorpade Peth
68.52,2,2,3,5344.773791,1282,Ghorpadi
34,2,1,2,3238.095238,1050,Gokhale Nagar
65,3,2,3,4062.5,1600,Gultekdi
54,2,1,2,5714.285714,945,Guruwar peth
78,2,1,2,5200,1500,Hadapsar
115,7,0,7,12105.26316,950,Hadapsar Industrial Estate
110,3,3,3,5882.352941,1870,Hingne Khurd
75,3,1,3,4687.5,1600,Jangali Maharaj Road
16.5,1,1,2,1875,880,Kalyani Nagar
210,4,0,4,17500,1200,Karve Nagar
83,3,2,3,5407.166124,1535,Karve Road
57,2,1,2,6000,950,Kasba Peth
65,2,1,2,4779.411765,1360,Katraj
54.005,2,0,2,5030.740568,1073.5,Khadaki
50.4,3,1,3,3937.5,1280,Khadki
85.05,2,2,3,6750,1260,Kharadi
225,8,2,8,5000,5000,Kondhwa
213,5,1,5,6983.606557,3050,Kondhwa Budruk
105,3,1,3,6717.635392,1563.05,Kondhwa Khurd
60,2,1,2,6000,1000,Koregaon Park
43.76,2,1,2,3749.785775,1167,Kothrud
225,7,2,7,5625,4000,Law College Road
110,3,2,3,6017.50547,1828,Laxmi Road
35,2,1,2,3932.58427,890,Lulla Nagar
46.74,3,3,3,2899.503722,1612,Mahatma Gandhi Road
185,5,2,6,17891.68279,1034,Mangalwar peth
91.31,4,2,3,5339.766082,1710,Manik Bagh
58,2,1,2,6060.606061,957,Market yard
44,2,3,3,3520,1250,Model colony
225,4,2,3,8407.871199,2795,Mukund Nagar
50,2,2,2,4444.444444,1125,Mundhawa
30.6,2,1,2,3000,1020,Nagar Road
50,2,2,2,4166.666667,1200,Nana Peth
135,3,3,3,7780.979827,1735,Narayan Peth
145,3,1,3,7073.170732,2050,Narayangaon
225,4,0,4,20266.66667,3750,Navi Peth
48,2,3,3,3555.555556,1350,Padmavati
32,2,1,2,3010.348071,1063,Parvati Darshan
150,3,1,3,7878.151261,1904,Pashan
225,4,2,4,10000,4200,Paud Road
175,3,1,3,8750,2000,Pirangut
43.49,2,0,2,3500.201207,1242.5,Prabhat Road
75,2,2,3,5263.157895,1425,Pune Railway Station
64.5,2,1,3,4300,1500,Rasta Peth
60,2,1,2,5660.377358,1060,Raviwar Peth
70,2,2,3,4761.904762,1470,Sadashiv Peth
99,6,0,6,7615.384615,1300,Sahakar Nagar
11,1,1,1,2444.444444,450,Salunke Vihar
64.5,2,1,2,5598.958333,1152,Sasson Road
56,2,1,3,4148.148148,1350,Satara Road
65,3,3,3,4193.548387,1550,Senapati Bapat Road
100,3,2,3,6666.666667,1500,Shaniwar Peth
85,3,2,5,14166.66667,600,Shivaji Nagar
14,1,0,1,3500,400,Shukrawar Peth
67,1,2,1,9503.546099,705,Sinhagad Road
36,1,1,2,4675.324675,770,Somwar Peth
51,2,3,2,4106.280193,1242,Swargate
155,3,2,3,9117.647059,1700,Tilak Road
145,3,2,3,6763.059701,2144,Uruli Devachi
110,3,2,3,6455.399061,1704,Vadgaon Budruk
52,2,1,2,4859.813084,1070,Wadgaon Sheri
225,3,2,3,16251.35428,1846,Viman Nagar
55.7,2,2,2,4156.716418,1340,Vishrant Wadi
46,2,1,2,4487.804878,1025,Wagholi
56.8,2,0,2,4446.183953,1277.5,Wakadewadi
52,2,2,2,4333.333333,1200,Wanowrie
110,4,1,4,4888.888889,2250,Warje
80,2,3,3,5161.290323,1550,Yerawada
225,5,2,4,27083.33333,1200,Alandi Road
225,7,1,7,13888.88889,1800,Ambegaon Budruk
60,2,2,2,5000,1200,Anandnagar
98,2,2,2,7385.079126,1327,Aundh
58,2,2,2,4890.387858,1186,Aundh Road
115,3,1,3,6449.803702,1783,Balaji Nagar
56,3,2,3,4000,1400,Baner
48,2,1,2,4897.959184,980,Baner road
82,2,2,2,6381.322957,1285,Bhandarkar Road
70,2,1,3,7675.438596,912,Bhavani Peth
47.6,2,2,2,3885.714286,1225,Bibvewadi
53,2,1,2,4930.232558,1075,Bopodi
54,2,2,3,4285.714286,1260,Budhwar Peth
48.7,2,2,3,3798.75195,1282,Bund Garden Road
88,3,2,3,4609.743321,1909,Camp
87,2,1,2,6401.766004,1359,Chandan Nagar
43.5,2,2,2,3603.976802,1207,Dapodi
190,6,0,4,10944.70046,1736,Deccan Gymkhana
225,4,1,4,15017.54386,2850,Dehu Road
65,3,2,3,4075.23511,1595,Dhankawadi
89,3,2,3,4949.944383,1798,Dhayari Phata
78.29,3,2,3,5307.79661,1475,Dhole Patil Road
100,3,3,3,6329.113924,1580,Erandwane
65,2,1,2,5019.305019,1295,Fatima Nagar
141,6,0,6,3916.666667,3600,Fergusson College Road
27,1,1,1,4584.040747,589,Ganesh Peth
78,3,3,3,5512.367491,1415,Ganeshkhind
98.29,3,2,3,5500.279799,1787,Ghorpade Peth
125,3,2,3,6994.963626,1787,Ghorpadi
90,2,3,3,6101.694915,1475,Gokhale Nagar
75.5,4,1,4,3775,2000,Gultekdi
44.28,2,1,2,4500,984,Guruwar peth
74.82,2,2,3,4590.184049,1630,Hadapsar
225,4,2,3,10810.81081,2405,Hadapsar Industrial Estate
72,2,2,2,6666.666667,1080,Hingne Khurd
115,2,1,2,7666.666667,1500,Jangali Maharaj Road
119,3,2,3,6263.157895,1900,Kalyani Nagar
22.14,2,1,2,2750.310559,805,Karve Nagar
56.4,2,2,2,4891.587164,1153,Karve Road
60,2,2,2,5226.480836,1148,Kasba Peth
55,2,2,2,4954.954955,1110,Katraj
42,2,2,2,3818.181818,1100,Khadaki
110,2,2,2,8527.131783,1290,Khadki
65,2,1,3,4333.333333,1500,Kharadi
39,2,2,2,3611.111111,1080,Kondhwa
129,3,1,3,6673.564408,1933,Kondhwa Budruk
150,5,2,5,4285.714286,3500,Kondhwa Khurd
60,2,2,2,5660.377358,1060,Koregaon Park
16.45,1,1,1,2550.387597,645,Kothrud
180,8,2,8,6923.076923,2600,Law College Road
16.45,1,1,1,2550.387597,645,Laxmi Road
84,3,3,3,5109.489051,1644,Lulla Nagar
72.5,2,3,2,5642.023346,1285,Mahatma Gandhi Road
90,3,1,3,7500,1200,Mangalwar peth
40,2,1,2,4395.604396,910,Manik Bagh
70,3,1,3,4438.807863,1577,Market yard
225,3,2,3,6913.580247,4050,Model colony
185,3,2,3,7644.628099,2420,Mukund Nagar
20,1,1,2,2500,800,Mundhawa
55,2,2,2,5188.679245,1060,Nagar Road
93,2,2,2,7322.834646,1270,Nana Peth
22.5,2,2,2,2500,900,Narayan Peth
69,2,1,2,5390.625,1280,Narayangaon
95,2,0,4,7916.666667,1200,Navi Peth
36,2,2,2,3512.195122,1025,Padmavati
63,2,1,2,5685.920578,1108,Parvati Darshan
170,5,2,5,14166.66667,1200,Pashan
170,3,2,3,5582.922824,3045,Paud Road
225,3,2,4,10344.82759,2900,Pirangut
75.5,3,2,3,5033.333333,1500,Prabhat Road
43.9,2,2,2,3389.96139,1295,Pune Railway Station
59.9,2,1,2,5154.905336,1162,Rasta Peth
49.2,2,2,2,4753.623188,1035,Raviwar Peth
52.8,4,0,4,3300,1600,Sadashiv Peth
46,3,2,3,3142.076503,1464,Sahakar Nagar
61.58,2,2,3,3300.107181,1866,Salunke Vihar
26,1,1,2,3714.285714,700,Sasson Road
120,3,2,3,6651.884701,1804,Satara Road
32,2,1,2,3504.928806,913,Senapati Bapat Road
131,3,2,3,7012.847966,1868,Shaniwar Peth
45,2,1,2,5096.262741,883,Shivaji Nagar
110,2,1,2,12222.22222,900,Shukrawar Peth
73.95,2,3,3,4444.110577,1664,Sinhagad Road
132,3,2,3,6515.301086,2026,Somwar Peth
80.9,2,1,2,6685.950413,1210,Swargate
225,4,2,4,6081.245439,4111,Tilak Road
91.45,3,3,3,5190.124858,1762,Uruli Devachi
55,3,3,3,4392.971246,1252,Vadgaon Budruk
34.5,2,1,2,4006.968641,861,Wadgaon Sheri
100,2,1,3,7042.253521,1420,Viman Nagar
225,6,0,6,17241.37931,1450,Vishrant Wadi
78.8,3,1,3,5288.590604,1490,Wagholi
46,2,1,3,4279.069767,1075,Wakadewadi
94,2,2,3,6596.491228,1425,Wanowrie
40,2,1,2,3333.333333,1200,Warje
56,2,2,3,4375,1280,Yerawada
50,2,2,2,4612.546125,1084,Alandi Road
25.88,2,2,2,2549.753695,1015,Ambegaon Budruk
51.25,2,1,2,5039.331367,1017,Anandnagar
44,2,2,2,4284.323272,1027,Aundh
45,2,2,2,4209.541628,1069,Aundh Road
98.2,2,1,2,7279.466271,1349,Balaji Nagar
50,2,1,2,4975.124378,1005,Baner
75,2,3,2,5292.872265,1417,Baner road
98,3,1,3,6644.067797,1475,Bhandarkar Road
47,2,2,2,4947.368421,950,Bhavani Peth
120,4,0,4,6000,2000,Bibvewadi
140,3,1,3,15909.09091,880,Bopodi
104,3,2,4,5582.393988,1863,Budhwar Peth
29.5,2,1,2,2920.792079,1010,Bund Garden Road
70,2,1,3,4912.280702,1425,Camp
100,3,0,3,6896.551724,1450,Chandan Nagar
105,3,2,3,5684.894423,1847,Dapodi
45,2,3,2,4090.909091,1100,Deccan Gymkhana
26,1,1,1,4952.380952,525,Dehu Road
95,3,2,3,5705.705706,1665,Dhankawadi
65,4,3,4,3906.25,1664,Dhayari Phata
150,3,3,3,8108.108108,1850,Dhole Patil Road
100,2,3,2,6954.102921,1438,Erandwane
115,3,3,3,7371.794872,1560,Fatima Nagar
55.55,2,1,2,4114.814815,1350,Fergusson College Road
67,3,3,3,4322.580645,1550,Ganesh Peth
46.5,2,2,2,4078.947368,1140,Ganeshkhind
180,5,2,5,15000,1200,Ghorpade Peth
27,2,2,2,3176.470588,850,Ghorpadi
75,2,2,2,5859.375,1280,Gokhale Nagar
52,2,2,2,4444.444444,1170,Gultekdi
51,2,1,2,4582.210243,1113,Guruwar peth
83.09,2,1,2,5999.277978,1385,Hadapsar
65,2,1,2,5762.411348,1128,Hadapsar Industrial Estate
128,2,2,2,10666.66667,1200,Hingne Khurd
165,4,3,4,13750,1200,Jangali Maharaj Road
225,3,2,3,17364.01674,2390,Kalyani Nagar
225,4,1,4,16666.66667,2400,Karve Nagar
56,3,2,3,3825.136612,1464,Karve Road
55,2,2,2,4583.333333,1200,Kasba Peth
52,2,2,2,4333.333333,1200,Katraj
55,2,1,3,4782.608696,1150,Khadaki
95,3,2,3,5775.075988,1645,Khadki
67,2,1,2,6700,1000,Kharadi
198,4,2,4,7471.698113,2650,Kondhwa
74,2,2,2,6208.053691,1192,Kondhwa Budruk
215,3,2,3,10070.25761,2135,Kondhwa Khurd
58,2,1,2,4944.58653,1173,Koregaon Park
45,2,2,2,4411.764706,1020,Kothrud
225,6,2,4,7367.072389,3122,Law College Road
64,3,3,3,4000,1600,Laxmi Road
79,2,0,2,6583.333333,1200,Lulla Nagar
48,2,3,2,3902.439024,1230,Mahatma Gandhi Road
40,2,2,2,3200,1250,Mangalwar peth
76,2,2,2,5735.849057,1325,Manik Bagh
150,3,1,3,8108.108108,1850,Market yard
21.53,2,2,1,4100.952381,525,Model colony
65,2,2,2,5416.666667,1200,Mukund Nagar
140,2,0,3,10370.37037,1350,Mundhawa
49.36,3,1,3,3917.460317,1260,Nagar Road
150,3,0,3,8333.333333,1800,Nana Peth
74,3,2,3,672727.2727,11,Narayan Peth
43.25,2,1,2,3931.818182,1100,Narayangaon
77,2,1,2,5106.100796,1508,Navi Peth
75,3,2,3,4711.055276,1592,Padmavati
57,2,3,2,4106.628242,1388,Parvati Darshan
28.35,1,1,1,4500,630,Pashan
225,3,2,3,18250,2000,Paud Road
125,3,1,3,7094.211124,1762,Pirangut
50,2,2,2,5263.157895,950,Prabhat Road
225,5,3,4,10301.35301,3252,Pune Railway Station
50,2,1,2,4480.286738,1116,Rasta Peth
89.04,2,2,2,6807.33945,1308,Raviwar Peth
90,3,0,3,7500,1200,Sadashiv Peth
225,4,2,4,15333.33333,1500,Sahakar Nagar
18.5,1,1,1,3700,500,Salunke Vihar
52,2,1,2,4837.209302,1075,Sasson Road
11.66,1,0,1,2200,530,Satara Road
66,2,3,2,5477.178423,1205,Senapati Bapat Road
60,2,2,2,5581.395349,1075,Shaniwar Peth
39,2,2,2,4193.548387,930,Shivaji Nagar
60,2,1,2,4347.826087,1380,Shukrawar Peth
212,5,2,4,8538.0588,2483,Sinhagad Road
55,2,2,2,4716.981132,1166,Somwar Peth
65,2,1,2,6190.47619,1050,Swargate
225,3,2,3,13588.90355,2023.71,Tilak Road
46.8,2,2,2,3900,1200,Uruli Devachi
108,2,1,3,6750,1600,Vadgaon Budruk
110,3,2,3,5684.754522,1935,Wadgaon Sheri
29.9,1,0,1,6629.711752,451,Viman Nagar
95,3,2,3,5277.777778,1800,Vishrant Wadi
77,3,0,3,5500,1400,Wagholi
115,3,2,3,6385.341477,1801,Wakadewadi
90,2,2,2,6202.618884,1451,Wanowrie
36,1,1,2,3000,1200,Warje
44,2,2,2,3793.103448,1160,Yerawada
25,2,1,2,2500,1000,Alandi Road
40,2,1,2,4210.526316,950,Ambegaon Budruk
79,3,2,3,4849.600982,1629,Anandnagar
134,2,0,3,8481.012658,1580,Aundh
121,3,2,3,6626.506024,1826,Aundh Road
94,2,1,2,7550.200803,1245,Balaji Nagar
45.79,2,2,2,3999.126638,1145,Baner
33,2,1,2,4000,825,Baner road
108,3,3,3,6379.208506,1693,Bhandarkar Road
53,2,2,2,4760.749863,1113.27,Bhavani Peth
58,2,1,2,3972.60274,1460,Bibvewadi
32,2,1,2,3047.619048,1050,Bopodi
55,2,2,2,4365.079365,1260,Budhwar Peth
120,3,2,6,17142.85714,700,Bund Garden Road
120,2,1,2,7246.376812,1656,Camp
45,3,1,3,3725.165563,1208,Chandan Nagar
161,3,2,3,8429.319372,1910,Dapodi
225,4,1,4,7072.570726,3252,Deccan Gymkhana
65,2,1,2,5416.666667,1200,Dehu Road
175,4,1,4,14583.33333,1200,Dhankawadi
82,2,1,2,6978.723404,1175,Dhayari Phata
165,2,0,2,16500,1000,Dhole Patil Road
125,2,0,4,10416.66667,1200,Erandwane
225,3,2,3,17154.81172,2390,Fatima Nagar
225,6,3,7,18333.33333,12000,Fergusson College Road
62,1,1,2,11272.72727,550,Ganesh Peth
38,2,2,2,3206.751055,1185,Ghorpade Peth
38,2,1,2,5066.666667,750,Ghorpadi
225,7,3,6,20833.33333,1200,Gokhale Nagar
64.5,3,3,3,4161.290323,1550,Gultekdi
88,3,2,3,5000,1760,Guruwar peth
62,2,2,2,5511.111111,1125,Hadapsar
150,3,2,3,11111.11111,1350,Hadapsar Industrial Estate
55,2,1,2,5500,1000,Hingne Khurd
31.48,2,2,2,2888.073394,1090,Jangali Maharaj Road
60,2,0,2,5000,1200,Kalyani Nagar
103,4,2,3,5173.279759,1991,Karve Nagar
26.5,2,1,2,2500,1060,Karve Road
75,2,1,2,6787.330317,1105,Kasba Peth
67,2,2,2,6802.030457,985,Katraj
85,5,3,6,5544.683627,1533,Khadaki
79,3,2,3,4968.553459,1590,Khadki
55,2,2,2,4910.714286,1120,Kharadi
55,2,1,2,5144.995323,1069,Kondhwa
140,3,2,3,7242.628039,1933,Kondhwa Budruk
69,2,0,2,5778.894472,1194,Kondhwa Khurd
69,2,3,2,6000,1150,Koregaon Park
47.12,2,2,2,3800,1240,Kothrud
48.1,2,2,2,3389.711064,1419,Law College Road
225,8,2,8,20833.33333,1200,Laxmi Road
225,4,2,3,11162.7907,2150,Lulla Nagar
55,3,2,3,3793.103448,1450,Mahatma Gandhi Road
68.29,3,2,3,4189.570552,1630,Mangalwar peth
40,1,1,2,5649.717514,708,Manik Bagh
110,4,3,3,11000,1000,Market yard
225,4,3,4,5887.300252,11890,Model colony
76,2,1,2,6080,1250,Mukund Nagar
95,2,1,3,6785.714286,1400,Mundhawa
57,2,3,3,3413.173653,1670,Nagar Road
100,3,2,3,5714.285714,1750,Nana Peth
71,2,1,2,5056.980057,1404,Narayan Peth
95,2,2,3,5539.358601,1715,Narayangaon
34.65,1,1,1,5500,630,Navi Peth
135,3,2,3,7704.951716,1752.12,Padmavati
78,3,2,3,4727.272727,1650,Parvati Darshan
55.47,2,1,2,4283.397683,1295,Pashan
225,3,2,3,14000,1800,Paud Road
74.03,2,1,2,5500,1346,Pirangut
200,4,2,4,16666.66667,1200,Prabhat Road
55,2,2,2,4782.608696,1150,Pune Railway Station
225,4,3,4,9821.698398,3309,Rasta Peth
30.35,2,2,3,2550.420168,1190,Raviwar Peth
98,3,2,3,6049.382716,1620,Sadashiv Peth
46.96,2,1,2,4943.157895,950,Sahakar Nagar
225,9,3,11,7200,5000,Salunke Vihar
120,3,0,3,4897.959184,2450,Sasson Road
35.23,2,1,3,2887.704918,1220,Satara Road
30,2,1,2,3529.411765,850,Senapati Bapat Road
63,2,2,2,6176.470588,1020,Shaniwar Peth
50,2,2,2,4545.454545,1100,Shivaji Nagar
126,2,2,2,10956.52174,1150,Shukrawar Peth
130,2,2,3,7386.363636,1760,Sinhagad Road
110,3,3,3,6111.111111,1800,Somwar Peth
54,2,1,2,5046.728972,1070,Swargate
220,4,2,4,14666.66667,1500,Tilak Road
95,2,0,2,6597.222222,1440,Uruli Devachi
40,2,1,2,4444.444444,900,Vadgaon Budruk
225,4,1,4,19166.66667,1200,Wadgaon Sheri
42.16,2,1,2,3730.973451,1130,Viman Nagar
165,2,1,2,12500,1320,Vishrant Wadi
98,2,1,2,7716.535433,1270,Wagholi
62,2,1,2,5166.666667,1200,Wakadewadi
225,4,2,4,4895.833333,4800,Wanowrie
74,2,1,2,6166.666667,1200,Warje
50.17,2,0,2,5400.430571,929,Yerawada
225,4,2,4,22608.69565,1150,Alandi Road
180,4,3,4,16000,1125,Ambegaon Budruk
65,3,2,5,13000,500,Anandnagar
190,5,2,5,15833.33333,1200,Aundh
56,3,2,3,3825.136612,1464,Aundh Road
225,4,3,4,11111.11111,3600,Balaji Nagar
99,4,2,4,4950,2000,Baner
49,2,1,2,4056.291391,1208,Baner road
60,2,2,2,5309.734513,1130,Bhandarkar Road
120,3,2,3,6845.407872,1753,Bhavani Peth
225,7,3,5,7488.888889,4500,Bibvewadi
58,3,2,3,9666.666667,600,Bopodi
94.42,2,2,2,7894.648829,1196,Budhwar Peth
52.5,3,3,2,4565.217391,1150,Bund Garden Road
63,2,1,2,5585.106383,1128,Camp
53,2,1,2,5300,1000,Chandan Nagar
45,2,1,2,4347.826087,1035,Dapodi
32,2,1,2,3368.421053,950,Deccan Gymkhana
36,2,1,3,3348.837209,1075,Dehu Road
48.5,2,1,2,4663.461538,1040,Dhankawadi
45,2,1,2,6250,720,Dhayari Phata
95,3,1,3,6287.227002,1511,Dhole Patil Road
58,3,1,3,4461.538462,1300,Erandwane
68.75,3,1,3,4449.838188,1545,Fatima Nagar
26,2,0,1,6933.333333,375,Fergusson College Road
38,2,3,2,3578.154426,1062,Ganesh Peth
40,2,1,2,3587.443946,1115,Ganeshkhind
35,2,1,2,3500,1000,Ghorpade Peth
45,2,1,2,5096.262741,883,Ghorpadi
70,2,1,2,5857.740586,1195,Gokhale Nagar
165,3,1,4,13750,1200,Gultekdi
41,1,0,1,5857.142857,700,Guruwar peth
67,2,1,2,5377.207063,1246,Hadapsar
90,4,2,4,13636.36364,660,Hadapsar Industrial Estate
145,4,2,4,1705.882353,8500,Hingne Khurd
80,4,1,4,5000,1600,Jangali Maharaj Road
154,5,3,4,5490.196078,2805,Kalyani Nagar
65,3,2,3,4103.535354,1584,Karve Nagar
225,5,1,4,9166.666667,3000,Karve Road
48,2,2,3,4085.106383,1175,Kasba Peth
115,3,2,3,7210.031348,1595,Katraj
110,2,2,2,8130.081301,1353,Khadaki
125,3,2,3,7817.385866,1599,Khadki
70,2,1,2,6086.956522,1150,Kharadi
225,6,1,4,8891.013384,5230,Kondhwa
42.74,2,2,2,3700.4329,1155,Kondhwa Budruk
85,2,0,1,7083.333333,1200,Kondhwa Khurd
25,2,1,2,2500,1000,Koregaon Park
120,4,2,4,4000,3000,Kothrud
160,3,1,3,8569.898232,1867,Law College Road
47,2,1,2,3756.994404,1251,Laxmi Road
45.5,2,1,2,4426.070039,1028,Lulla Nagar
45,2,2,2,3682.487725,1222,Mahatma Gandhi Road
66,2,1,3,5641.025641,1170,Mangalwar peth
225,4,1,3,10208.33333,2400,Manik Bagh
48.48,2,2,3,3500.361011,1385,Market yard
68,2,1,2,4956.268222,1372,Model colony
49,2,2,3,3822.152886,1282,Mukund Nagar
210,9,3,9,4200,5000,Mundhawa
225,3,1,5,17600,3000,Nagar Road
39.73,2,1,2,3500.440529,1135,Nana Peth
101,3,2,3,5712.669683,1768,Narayan Peth
90,2,1,3,6792.45283,1325,Narayangaon
99,3,2,3,6191.369606,1599,Navi Peth
61.95,3,1,3,4130,1500,Padmavati
225,3,0,3,19118.77395,2610,Parvati Darshan
63,2,2,2,4898.911353,1286,Pashan
140,5,1,5,4920.913884,2845,Paud Road
50,2,2,3,3125,1600,Pirangut
63.77,2,0,2,4840.227704,1317.5,Prabhat Road
225,5,2,3,7536.231884,3450,Pune Railway Station
53.67,2,2,2,4870.235935,1102,Rasta Peth
54,2,2,2,4000,1350,Raviwar Peth
42,2,2,3,3500,1200,Sadashiv Peth
145,6,0,6,11153.84615,1300,Sahakar Nagar
80,1,1,2,4444.444444,1800,Salunke Vihar
40,2,1,2,4210.526316,950,Sasson Road
27.25,1,1,1,5190.47619,525,Satara Road
25,2,1,2,3810.97561,656,Senapati Bapat Road
175,4,3,4,9831.460674,1780,Shaniwar Peth
80,2,1,2,7575.757576,1056,Shivaji Nagar
33.32,1,1,1,5600,595,Shukrawar Peth
50,2,2,2,4629.62963,1080,Sinhagad Road
