site_location,bath,balcony,price,bhk,price_per_sqft,new_total_sqft,_site_location
Parvati Darshan,2,1,62,2,5636.363636,1100,Parvati Darshan
Pashan,2,3,43,2,3771.929825,1140,Pashan
Paud Road,2,1,57,2,4672.131148,1220,Paud Road
Pirangut,7,0,85,8,6296.296296,1350,Pirangut
Prabhat Road,2,1,36.68,2,3649.751244,1005,Prabhat Road
Pune Railway Station,3,2,100,3,20000,500,Pune Railway Station
Rasta Peth,2,1,80.58,2,5933.726068,1358,Rasta Peth
Raviwar Peth,3,1,101,3,6437.22116,1569,Raviwar Peth
Sadashiv Peth,2,1,70,2,5645.16129,1240,Sadashiv Peth
Sahakar Nagar,3,2,140,3,6701.771182,2089,Sahakar Nagar
Salunke Vihar,2,1,48.23,2,3999.170813,1206,Salunke Vihar
Sasson Road,2,3,40,2,3478.26087,1150,Sasson Road
Satara Road,3,3,205,3,8164.078057,2511,Satara Road
Senapati Bapat Road,1,0,22,2,4782.608696,460,Senapati Bapat Road
Shaniwar Peth,6,3,250,6,5681.818182,4400,Shaniwar Peth
Shivaji Nagar,2,2,105,3,6325.301205,1660,Shivaji Nagar
Shukrawar Peth,2,2,224.5,4,7007.960044,3203.5,Shukrawar Peth
Sinhagad Road,2,2,78,2,5882.352941,1326,Sinhagad Road
Somwar Peth,2,2,60.8,3,4588.679245,1325,Somwar Peth
Swargate,5,2,102,3,6804.536358,1499,Swargate
Tilak Road,7,2,210,6,7000,3000,Tilak Road
Uruli Devachi,3,2,88,3,5285.285285,1665,Uruli Devachi
Vadgaon Budruk,2,2,37,2,5225.988701,708,Vadgaon Budruk
Wadgaon Sheri,2,2,58.06,2,5477.358491,1060,Wadgaon Sheri
Viman Nagar,6,3,160,6,22535.21127,710,Viman Nagar
Vishrant Wadi,2,2,70,2,7000,1000,Vishrant Wadi
Wagholi,2,1,28.88,2,2888,1000,Wagholi
Wakadewadi,2,2,70,3,4827.586207,1450,Wakadewadi
Wanowrie,4,2,155,4,12916.66667,1200,Wanowrie
Warje,2,3,80,2,6172.839506,1296,Warje
Yerawada,3,2,90,3,5844.155844,1540,Yerawada
Alandi Road,4,1,245,4,8465.791292,2894,Alandi Road
Ambegaon Budruk,2,1,48,3,3609.022556,1330,Ambegaon Budruk
Anandnagar,2,1,65,2,5416.666667,1200,Anandnagar
Aundh,3,1,90,3,7500,1200,Aundh
Aundh Road,3,3,138,3,5515.58753,2502,Aundh Road
Balaji Nagar,1,1,17,2,2615.384615,650,Balaji Nagar
Baner,2,1,150,3,6250,2400,Baner
Baner road,2,2,43,2,4270.109235,1007,Baner road
Bhandarkar Road,2,2,50,2,4166.666667,1200,Bhandarkar Road
Bhavani Peth,2,2,49.9,2,5165.63147,966,Bhavani Peth
Bibvewadi,2,1,98,3,6012.269939,1630,Bibvewadi
Bopodi,3,2,229,3,13963.41463,1640,Bopodi
Budhwar Peth,2,2,55.68,2,7120.204604,782,Budhwar Peth
Bund Garden Road,2,2,66.78,2,5300,1260,Bund Garden Road
Camp,3,3,120,3,6666.666667,1800,Camp
Chandan Nagar,2,2,75,3,5307.855626,1413,Chandan Nagar
Dapodi,2,1,51.91,2,4651.433692,1116,Dapodi
Deccan Gymkhana,2,1,45.9,3,3000,1530,Deccan Gymkhana
Dehu Road,4,1,225,4,6081.081081,3700,Dehu Road
Dhankawadi,3,2,140,3,5606.728074,2497,Dhankawadi
Dhayari Phata,2,3,64,3,4155.844156,1540,Dhayari Phata
Dhole Patil Road,3,1,74.75,3,5205.431755,1436,Dhole Patil Road
Erandwane,2,2,75,2,6818.181818,1100,Erandwane
Fatima Nagar,3,3,23,2,8333.333333,276,Fatima Nagar
Fergusson College Road,3,2,120,3,8409.250175,1427,Fergusson College Road
Ganesh Peth,3,1,200,3,9704.027171,2061,Ganesh Peth
Ganeshkhind,4,0,477,4,8500.400962,5611.5,Ganeshkhind
Ghorpade Peth,4,2,150,4,5660.377358,2650,Ghorpade Peth
Ghorpadi,2,2,68.52,3,5344.773791,1282,Ghorpadi
Gokhale Nagar,2,1,34,2,3238.095238,1050,Gokhale Nagar
Gultekdi,3,2,65,3,4062.5,1600,Gultekdi
Guruwar peth,2,1,54,2,5714.285714,945,Guruwar peth
Hadapsar,2,1,78,2,5200,1500,Hadapsar
Hadapsar Industrial Estate,7,0,115,7,12105.26316,950,Hadapsar Industrial Estate
Hingne Khurd,3,3,110,3,5882.352941,1870,Hingne Khurd
Jangali Maharaj Road,3,1,75,3,4687.5,1600,Jangali Maharaj Road
Kalyani Nagar,1,1,16.5,2,1875,880,Kalyani Nagar
Karve Nagar,4,0,210,4,17500,1200,Karve Nagar
Karve Road,3,2,83,3,5407.166124,1535,Karve Road
Kasba Peth,2,1,57,2,6000,950,Kasba Peth
Katraj,2,1,65,2,4779.411765,1360,Katraj
Khadaki,2,0,54.005,2,5030.740568,1073.5,Khadaki
Khadki,3,1,50.4,3,3937.5,1280,Khadki
Kharadi,2,2,85.05,3,6750,1260,Kharadi
Kondhwa,8,2,250,8,5000,5000,Kondhwa
Kondhwa Budruk,5,1,213,5,6983.606557,3050,Kondhwa Budruk
Kondhwa Khurd,3,1,105,3,6717.635392,1563.05,Kondhwa Khurd
Koregaon Park,2,1,60,2,6000,1000,Koregaon Park
Kothrud,2,1,43.76,2,3749.785775,1167,Kothrud
Law College Road,7,2,225,7,5625,4000,Law College Road
Laxmi Road,3,2,110,3,6017.50547,1828,Laxmi Road
Lulla Nagar,2,1,35,2,3932.58427,890,Lulla Nagar
Mahatma Gandhi Road,3,3,46.74,3,2899.503722,1612,Mahatma Gandhi Road
Mangalwar peth,5,2,185,6,17891.68279,1034,Mangalwar peth
Manik Bagh,4,2,91.31,3,5339.766082,1710,Manik Bagh
Market yard,2,1,58,2,6060.606061,957,Market yard
Model colony,2,3,44,3,3520,1250,Model colony
Mukund Nagar,4,2,235,3,8407.871199,2795,Mukund Nagar
Mundhawa,2,2,50,2,4444.444444,1125,Mundhawa
Nagar Road,2,1,30.6,2,3000,1020,Nagar Road
Nana Peth,2,2,50,2,4166.666667,1200,Nana Peth
Narayan Peth,3,3,135,3,7780.979827,1735,Narayan Peth
Narayangaon,3,1,145,3,7073.170732,2050,Narayangaon
Navi Peth,4,0,760,4,20266.66667,3750,Navi Peth
Padmavati,2,3,48,3,3555.555556,1350,Padmavati
Parvati Darshan,2,1,32,2,3010.348071,1063,Parvati Darshan
Pashan,3,1,150,3,7878.151261,1904,Pashan
Paud Road,4,2,420,4,10000,4200,Paud Road
Pirangut,3,1,175,3,8750,2000,Pirangut
Prabhat Road,2,0,43.49,2,3500.201207,1242.5,Prabhat Road
Pune Railway Station,2,2,75,3,5263.157895,1425,Pune Railway Station
Rasta Peth,2,1,64.5,3,4300,1500,Rasta Peth
Raviwar Peth,2,1,60,2,5660.377358,1060,Raviwar Peth
Sadashiv Peth,2,2,70,3,4761.904762,1470,Sadashiv Peth
Sahakar Nagar,6,0,99,6,7615.384615,1300,Sahakar Nagar
Salunke Vihar,1,1,11,1,2444.444444,450,Salunke Vihar
Sasson Road,2,1,64.5,2,5598.958333,1152,Sasson Road
Satara Road,2,1,56,3,4148.148148,1350,Satara Road
Senapati Bapat Road,3,3,65,3,4193.548387,1550,Senapati Bapat Road
Shaniwar Peth,3,2,100,3,6666.666667,1500,Shaniwar Peth
Shivaji Nagar,3,2,85,5,14166.66667,600,Shivaji Nagar
Shukrawar Peth,1,0,14,1,3500,400,Shukrawar Peth
Sinhagad Road,1,2,67,1,9503.546099,705,Sinhagad Road
Somwar Peth,1,1,36,2,4675.324675,770,Somwar Peth
Swargate,2,3,51,2,4106.280193,1242,Swargate
Tilak Road,3,2,155,3,9117.647059,1700,Tilak Road
Uruli Devachi,3,2,145,3,6763.059701,2144,Uruli Devachi
Vadgaon Budruk,3,2,110,3,6455.399061,1704,Vadgaon Budruk
Wadgaon Sheri,2,1,52,2,4859.813084,1070,Wadgaon Sheri
Viman Nagar,3,2,300,3,16251.35428,1846,Viman Nagar
Vishrant Wadi,2,2,55.7,2,4156.716418,1340,Vishrant Wadi
Wagholi,2,1,46,2,4487.804878,1025,Wagholi
Wakadewadi,2,0,56.8,2,4446.183953,1277.5,Wakadewadi
Wanowrie,2,2,52,2,4333.333333,1200,Wanowrie
Warje,4,1,110,4,4888.888889,2250,Warje
Yerawada,2,3,80,3,5161.290323,1550,Yerawada
Alandi Road,5,2,325,4,27083.33333,1200,Alandi Road
Ambegaon Budruk,7,1,250,7,13888.88889,1800,Ambegaon Budruk
Anandnagar,2,2,60,2,5000,1200,Anandnagar
Aundh,2,2,98,2,7385.079126,1327,Aundh
Aundh Road,2,2,58,2,4890.387858,1186,Aundh Road
Balaji Nagar,3,1,115,3,6449.803702,1783,Balaji Nagar
Baner,3,2,56,3,4000,1400,Baner
Baner road,2,1,48,2,4897.959184,980,Baner road
Bhandarkar Road,2,2,82,2,6381.322957,1285,Bhandarkar Road
Bhavani Peth,2,1,70,3,7675.438596,912,Bhavani Peth
Bibvewadi,2,2,47.6,2,3885.714286,1225,Bibvewadi
Bopodi,2,1,53,2,4930.232558,1075,Bopodi
Budhwar Peth,2,2,54,3,4285.714286,1260,Budhwar Peth
Bund Garden Road,2,2,48.7,3,3798.75195,1282,Bund Garden Road
Camp,3,2,88,3,4609.743321,1909,Camp
Chandan Nagar,2,1,87,2,6401.766004,1359,Chandan Nagar
Dapodi,2,2,43.5,2,3603.976802,1207,Dapodi
Deccan Gymkhana,6,0,190,4,10944.70046,1736,Deccan Gymkhana
Dehu Road,4,1,428,4,15017.54386,2850,Dehu Road
Dhankawadi,3,2,65,3,4075.23511,1595,Dhankawadi
Dhayari Phata,3,2,89,3,4949.944383,1798,Dhayari Phata
Dhole Patil Road,3,2,78.29,3,5307.79661,1475,Dhole Patil Road
Erandwane,3,3,100,3,6329.113924,1580,Erandwane
Fatima Nagar,2,1,65,2,5019.305019,1295,Fatima Nagar
Fergusson College Road,6,0,141,6,3916.666667,3600,Fergusson College Road
Ganesh Peth,1,1,27,1,4584.040747,589,Ganesh Peth
Ganeshkhind,3,3,78,3,5512.367491,1415,Ganeshkhind
Ghorpade Peth,3,2,98.29,3,5500.279799,1787,Ghorpade Peth
Ghorpadi,3,2,125,3,6994.963626,1787,Ghorpadi
Gokhale Nagar,2,3,90,3,6101.694915,1475,Gokhale Nagar
Gultekdi,4,1,75.5,4,3775,2000,Gultekdi
Guruwar peth,2,1,44.28,2,4500,984,Guruwar peth
Hadapsar,2,2,74.82,3,4590.184049,1630,Hadapsar
Hadapsar Industrial Estate,4,2,260,3,10810.81081,2405,Hadapsar Industrial Estate
Hingne Khurd,2,2,72,2,6666.666667,1080,Hingne Khurd
Jangali Maharaj Road,2,1,115,2,7666.666667,1500,Jangali Maharaj Road
Kalyani Nagar,3,2,119,3,6263.157895,1900,Kalyani Nagar
Karve Nagar,2,1,22.14,2,2750.310559,805,Karve Nagar
Karve Road,2,2,56.4,2,4891.587164,1153,Karve Road
Kasba Peth,2,2,60,2,5226.480836,1148,Kasba Peth
Katraj,2,2,55,2,4954.954955,1110,Katraj
Khadaki,2,2,42,2,3818.181818,1100,Khadaki
Khadki,2,2,110,2,8527.131783,1290,Khadki
Kharadi,2,1,65,3,4333.333333,1500,Kharadi
Kondhwa,2,2,39,2,3611.111111,1080,Kondhwa
Kondhwa Budruk,3,1,129,3,6673.564408,1933,Kondhwa Budruk
Kondhwa Khurd,5,2,150,5,4285.714286,3500,Kondhwa Khurd
Koregaon Park,2,2,60,2,5660.377358,1060,Koregaon Park
Kothrud,1,1,16.45,1,2550.387597,645,Kothrud
Law College Road,8,2,180,8,6923.076923,2600,Law College Road
Laxmi Road,1,1,16.45,1,2550.387597,645,Laxmi Road
Lulla Nagar,3,3,84,3,5109.489051,1644,Lulla Nagar
Mahatma Gandhi Road,2,3,72.5,2,5642.023346,1285,Mahatma Gandhi Road
Mangalwar peth,3,1,90,3,7500,1200,Mangalwar peth
Manik Bagh,2,1,40,2,4395.604396,910,Manik Bagh
Market yard,3,1,70,3,4438.807863,1577,Market yard
Model colony,3,2,280,3,6913.580247,4050,Model colony
Mukund Nagar,3,2,185,3,7644.628099,2420,Mukund Nagar
Mundhawa,1,1,20,2,2500,800,Mundhawa
Nagar Road,2,2,55,2,5188.679245,1060,Nagar Road
Nana Peth,2,2,93,2,7322.834646,1270,Nana Peth
Narayan Peth,2,2,22.5,2,2500,900,Narayan Peth
Narayangaon,2,1,69,2,5390.625,1280,Narayangaon
Navi Peth,2,0,95,4,7916.666667,1200,Navi Peth
Padmavati,2,2,36,2,3512.195122,1025,Padmavati
Parvati Darshan,2,1,63,2,5685.920578,1108,Parvati Darshan
Pashan,5,2,170,5,14166.66667,1200,Pashan
Paud Road,3,2,170,3,5582.922824,3045,Paud Road
Pirangut,3,2,300,4,10344.82759,2900,Pirangut
Prabhat Road,3,2,75.5,3,5033.333333,1500,Prabhat Road
Pune Railway Station,2,2,43.9,2,3389.96139,1295,Pune Railway Station
Rasta Peth,2,1,59.9,2,5154.905336,1162,Rasta Peth
Raviwar Peth,2,2,49.2,2,4753.623188,1035,Raviwar Peth
Sadashiv Peth,4,0,52.8,4,3300,1600,Sadashiv Peth
Sahakar Nagar,3,2,46,3,3142.076503,1464,Sahakar Nagar
Salunke Vihar,2,2,61.58,3,3300.107181,1866,Salunke Vihar
Sasson Road,1,1,26,2,3714.285714,700,Sasson Road
Satara Road,3,2,120,3,6651.884701,1804,Satara Road
Senapati Bapat Road,2,1,32,2,3504.928806,913,Senapati Bapat Road
Shaniwar Peth,3,2,131,3,7012.847966,1868,Shaniwar Peth
Shivaji Nagar,2,1,45,2,5096.262741,883,Shivaji Nagar
Shukrawar Peth,2,1,110,2,12222.22222,900,Shukrawar Peth
Sinhagad Road,2,3,73.95,3,4444.110577,1664,Sinhagad Road
Somwar Peth,3,2,132,3,6515.301086,2026,Somwar Peth
Swargate,2,1,80.9,2,6685.950413,1210,Swargate
Tilak Road,4,2,250,4,6081.245439,4111,Tilak Road
Uruli Devachi,3,3,91.45,3,5190.124858,1762,Uruli Devachi
Vadgaon Budruk,3,3,55,3,4392.971246,1252,Vadgaon Budruk
Wadgaon Sheri,2,1,34.5,2,4006.968641,861,Wadgaon Sheri
Viman Nagar,2,1,100,3,7042.253521,1420,Viman Nagar
Vishrant Wadi,6,0,250,6,17241.37931,1450,Vishrant Wadi
Wagholi,3,1,78.8,3,5288.590604,1490,Wagholi
Wakadewadi,2,1,46,3,4279.069767,1075,Wakadewadi
Wanowrie,2,2,94,3,6596.491228,1425,Wanowrie
Warje,2,1,40,2,3333.333333,1200,Warje
Yerawada,2,2,56,3,4375,1280,Yerawada
Alandi Road,2,2,50,2,4612.546125,1084,Alandi Road
Ambegaon Budruk,2,2,25.88,2,2549.753695,1015,Ambegaon Budruk
Anandnagar,2,1,51.25,2,5039.331367,1017,Anandnagar
Aundh,2,2,44,2,4284.323272,1027,Aundh
Aundh Road,2,2,45,2,4209.541628,1069,Aundh Road
Balaji Nagar,2,1,98.2,2,7279.466271,1349,Balaji Nagar
Baner,2,1,50,2,4975.124378,1005,Baner
Baner road,2,3,75,2,5292.872265,1417,Baner road
Bhandarkar Road,3,1,98,3,6644.067797,1475,Bhandarkar Road
Bhavani Peth,2,2,47,2,4947.368421,950,Bhavani Peth
Bibvewadi,4,0,120,4,6000,2000,Bibvewadi
Bopodi,3,1,140,3,15909.09091,880,Bopodi
Budhwar Peth,3,2,104,4,5582.393988,1863,Budhwar Peth
Bund Garden Road,2,1,29.5,2,2920.792079,1010,Bund Garden Road
Camp,2,1,70,3,4912.280702,1425,Camp
Chandan Nagar,3,0,100,3,6896.551724,1450,Chandan Nagar
Dapodi,3,2,105,3,5684.894423,1847,Dapodi
Deccan Gymkhana,2,3,45,2,4090.909091,1100,Deccan Gymkhana
Dehu Road,1,1,26,1,4952.380952,525,Dehu Road
Dhankawadi,3,2,95,3,5705.705706,1665,Dhankawadi
Dhayari Phata,4,3,65,4,3906.25,1664,Dhayari Phata
Dhole Patil Road,3,3,150,3,8108.108108,1850,Dhole Patil Road
Erandwane,2,3,100,2,6954.102921,1438,Erandwane
Fatima Nagar,3,3,115,3,7371.794872,1560,Fatima Nagar
Fergusson College Road,2,1,55.55,2,4114.814815,1350,Fergusson College Road
Ganesh Peth,3,3,67,3,4322.580645,1550,Ganesh Peth
Ganeshkhind,2,2,46.5,2,4078.947368,1140,Ganeshkhind
Ghorpade Peth,5,2,180,5,15000,1200,Ghorpade Peth
Ghorpadi,2,2,27,2,3176.470588,850,Ghorpadi
Gokhale Nagar,2,2,75,2,5859.375,1280,Gokhale Nagar
Gultekdi,2,2,52,2,4444.444444,1170,Gultekdi
Guruwar peth,2,1,51,2,4582.210243,1113,Guruwar peth
Hadapsar,2,1,83.09,2,5999.277978,1385,Hadapsar
Hadapsar Industrial Estate,2,1,65,2,5762.411348,1128,Hadapsar Industrial Estate
Hingne Khurd,2,2,128,2,10666.66667,1200,Hingne Khurd
Jangali Maharaj Road,4,3,165,4,13750,1200,Jangali Maharaj Road
Kalyani Nagar,3,2,415,3,17364.01674,2390,Kalyani Nagar
Karve Nagar,4,1,400,4,16666.66667,2400,Karve Nagar
Karve Road,3,2,56,3,3825.136612,1464,Karve Road
Kasba Peth,2,2,55,2,4583.333333,1200,Kasba Peth
Katraj,2,2,52,2,4333.333333,1200,Katraj
Khadaki,2,1,55,3,4782.608696,1150,Khadaki
Khadki,3,2,95,3,5775.075988,1645,Khadki
Kharadi,2,1,67,2,6700,1000,Kharadi
Kondhwa,4,2,198,4,7471.698113,2650,Kondhwa
Kondhwa Budruk,2,2,74,2,6208.053691,1192,Kondhwa Budruk
Kondhwa Khurd,3,2,215,3,10070.25761,2135,Kondhwa Khurd
Koregaon Park,2,1,58,2,4944.58653,1173,Koregaon Park
Kothrud,2,2,45,2,4411.764706,1020,Kothrud
Law College Road,6,2,230,4,7367.072389,3122,Law College Road
Laxmi Road,3,3,64,3,4000,1600,Laxmi Road
Lulla Nagar,2,0,79,2,6583.333333,1200,Lulla Nagar
Mahatma Gandhi Road,2,3,48,2,3902.439024,1230,Mahatma Gandhi Road
Mangalwar peth,2,2,40,2,3200,1250,Mangalwar peth
Manik Bagh,2,2,76,2,5735.849057,1325,Manik Bagh
Market yard,3,1,150,3,8108.108108,1850,Market yard
Model colony,2,2,21.53,1,4100.952381,525,Model colony
Mukund Nagar,2,2,65,2,5416.666667,1200,Mukund Nagar
Mundhawa,2,0,140,3,10370.37037,1350,Mundhawa
Nagar Road,3,1,49.36,3,3917.460317,1260,Nagar Road
Nana Peth,3,0,150,3,8333.333333,1800,Nana Peth
Narayan Peth,3,2,74,3,672727.2727,11,Narayan Peth
Narayangaon,2,1,43.25,2,3931.818182,1100,Narayangaon
Navi Peth,2,1,77,2,5106.100796,1508,Navi Peth
Padmavati,3,2,75,3,4711.055276,1592,Padmavati
Parvati Darshan,2,3,57,2,4106.628242,1388,Parvati Darshan
Pashan,1,1,28.35,1,4500,630,Pashan
Paud Road,3,2,365,3,18250,2000,Paud Road
Pirangut,3,1,125,3,7094.211124,1762,Pirangut
Prabhat Road,2,2,50,2,5263.157895,950,Prabhat Road
Pune Railway Station,5,3,335,4,10301.35301,3252,Pune Railway Station
Rasta Peth,2,1,50,2,4480.286738,1116,Rasta Peth
Raviwar Peth,2,2,89.04,2,6807.33945,1308,Raviwar Peth
Sadashiv Peth,3,0,90,3,7500,1200,Sadashiv Peth
Sahakar Nagar,4,2,230,4,15333.33333,1500,Sahakar Nagar
Salunke Vihar,1,1,18.5,1,3700,500,Salunke Vihar
Sasson Road,2,1,52,2,4837.209302,1075,Sasson Road
Satara Road,1,0,11.66,1,2200,530,Satara Road
Senapati Bapat Road,2,3,66,2,5477.178423,1205,Senapati Bapat Road
Shaniwar Peth,2,2,60,2,5581.395349,1075,Shaniwar Peth
Shivaji Nagar,2,2,39,2,4193.548387,930,Shivaji Nagar
Shukrawar Peth,2,1,60,2,4347.826087,1380,Shukrawar Peth
Sinhagad Road,5,2,212,4,8538.0588,2483,Sinhagad Road
Somwar Peth,2,2,55,2,4716.981132,1166,Somwar Peth
Swargate,2,1,65,2,6190.47619,1050,Swargate
Tilak Road,3,2,275,3,13588.90355,2023.71,Tilak Road
Uruli Devachi,2,2,46.8,2,3900,1200,Uruli Devachi
Vadgaon Budruk,2,1,108,3,6750,1600,Vadgaon Budruk
Wadgaon Sheri,3,2,110,3,5684.754522,1935,Wadgaon Sheri
Viman Nagar,1,0,29.9,1,6629.711752,451,Viman Nagar
Vishrant Wadi,3,2,95,3,5277.777778,1800,Vishrant Wadi
Wagholi,3,0,77,3,5500,1400,Wagholi
Wakadewadi,3,2,115,3,6385.341477,1801,Wakadewadi
Wanowrie,2,2,90,2,6202.618884,1451,Wanowrie
Warje,1,1,36,2,3000,1200,Warje
Yerawada,2,2,44,2,3793.103448,1160,Yerawada
Alandi Road,2,1,25,2,2500,1000,Alandi Road
Ambegaon Budruk,2,1,40,2,4210.526316,950,Ambegaon Budruk
Anandnagar,3,2,79,3,4849.600982,1629,Anandnagar
Aundh,2,0,134,3,8481.012658,1580,Aundh
Aundh Road,3,2,121,3,6626.506024,1826,Aundh Road
Balaji Nagar,2,1,94,2,7550.200803,1245,Balaji Nagar
Baner,2,2,45.79,2,3999.126638,1145,Baner
Baner road,2,1,33,2,4000,825,Baner road
Bhandarkar Road,3,3,108,3,6379.208506,1693,Bhandarkar Road
Bhavani Peth,2,2,53,2,4760.749863,1113.27,Bhavani Peth
Bibvewadi,2,1,58,2,3972.60274,1460,Bibvewadi
Bopodi,2,1,32,2,3047.619048,1050,Bopodi
Budhwar Peth,2,2,55,2,4365.079365,1260,Budhwar Peth
Bund Garden Road,3,2,120,6,17142.85714,700,Bund Garden Road
Camp,2,1,120,2,7246.376812,1656,Camp
Chandan Nagar,3,1,45,3,3725.165563,1208,Chandan Nagar
Dapodi,3,2,161,3,8429.319372,1910,Dapodi
Deccan Gymkhana,4,1,230,4,7072.570726,3252,Deccan Gymkhana
Dehu Road,2,1,65,2,5416.666667,1200,Dehu Road
Dhankawadi,4,1,175,4,14583.33333,1200,Dhankawadi
Dhayari Phata,2,1,82,2,6978.723404,1175,Dhayari Phata
Dhole Patil Road,2,0,165,2,16500,1000,Dhole Patil Road
Erandwane,2,0,125,4,10416.66667,1200,Erandwane
Fatima Nagar,3,2,410,3,17154.81172,2390,Fatima Nagar
Fergusson College Road,6,3,2200,7,18333.33333,12000,Fergusson College Road
Ganesh Peth,1,1,62,2,11272.72727,550,Ganesh Peth
Ghorpade Peth,2,2,38,2,3206.751055,1185,Ghorpade Peth
Ghorpadi,2,1,38,2,5066.666667,750,Ghorpadi
Gokhale Nagar,7,3,250,6,20833.33333,1200,Gokhale Nagar
Gultekdi,3,3,64.5,3,4161.290323,1550,Gultekdi
Guruwar peth,3,2,88,3,5000,1760,Guruwar peth
Hadapsar,2,2,62,2,5511.111111,1125,Hadapsar
Hadapsar Industrial Estate,3,2,150,3,11111.11111,1350,Hadapsar Industrial Estate
Hingne Khurd,2,1,55,2,5500,1000,Hingne Khurd
Jangali Maharaj Road,2,2,31.48,2,2888.073394,1090,Jangali Maharaj Road
Kalyani Nagar,2,0,60,2,5000,1200,Kalyani Nagar
Karve Nagar,4,2,103,3,5173.279759,1991,Karve Nagar
Karve Road,2,1,26.5,2,2500,1060,Karve Road
Kasba Peth,2,1,75,2,6787.330317,1105,Kasba Peth
Katraj,2,2,67,2,6802.030457,985,Katraj
